latitude,longitude,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Time
-25.57,-49.74,lapa,br,64.4,82.0,75.0,9.17,2018-02-02 01:00:00
46.45,46.82,zenzeli,ru,14.37,75.0,0.0,7.45,2018-02-02 01:11:58
43.86,-127.81,north bend,us,55.4,76.0,90.0,6.93,2018-02-02 00:35:00
27.77,122.67,wenling,cn,38.18,100.0,48.0,11.81,2018-02-02 01:10:24
63.13,63.64,igrim,ru,-3.09,76.0,32.0,5.21,2018-02-02 01:13:09
57.54,56.43,kukushtan,ru,-2.21,84.0,75.0,2.64,2018-02-02 00:30:00
-37.91,172.83,okato,nz,67.2,98.0,76.0,18.07,2018-02-02 01:13:09
37.66,-97.18,andover,us,44.6,48.0,90.0,9.17,2018-02-01 23:56:00
85.6,143.52,chokurdakh,ru,-16.14,73.0,48.0,2.98,2018-02-02 01:17:24
51.63,-93.13,dryden,ca,-7.61,69.0,1.0,10.29,2018-02-02 00:00:00
36.16,77.5,leh,in,-21.99,38.0,0.0,1.52,2018-02-02 01:16:04
2.36,33.22,lira,ug,70.26,50.0,0.0,8.57,2018-02-02 01:10:33
-9.9,143.93,daru,pg,78.23,100.0,64.0,12.82,2018-02-02 01:15:24
-33.27,6.39,luderitz,na,64.4,88.0,0.0,11.41,2018-02-02 00:00:00
-35.16,-70.43,chimbarongo,cl,75.2,50.0,0.0,3.36,2018-02-02 01:00:00
12.93,-22.43,praia,cv,68.0,52.0,75.0,20.8,2018-02-02 00:00:00
32.02,-85.61,tuskegee,us,62.6,87.0,20.0,9.17,2018-02-02 00:56:00
20.3,129.2,hirara,jp,66.2,68.0,75.0,12.75,2018-02-02 00:00:00
65.61,-47.77,paamiut,gl,24.99,100.0,24.0,29.93,2018-02-02 01:13:00
43.58,-116.88,caldwell,us,48.2,49.0,90.0,2.75,2018-02-02 00:35:00
62.21,73.1,poykovskiy,ru,-2.21,84.0,44.0,4.47,2018-02-02 00:30:00
39.02,16.67,petilia policastro,it,53.6,76.0,20.0,10.29,2018-02-01 23:50:00
-10.6,-63.2,ariquemes,br,77.37,88.0,48.0,2.08,2018-02-02 01:13:56
-8.8,18.68,saurimo,ao,65.9,97.0,80.0,2.75,2018-02-02 01:13:28
48.78,-85.55,manitouwadge,ca,-0.08,42.0,44.0,7.11,2018-02-02 01:13:54
-40.52,160.83,te anau,nz,49.25,89.0,80.0,3.76,2018-02-02 01:15:45
18.91,-23.67,pombas,cv,69.5,100.0,76.0,22.66,2018-02-02 01:13:22
67.81,-48.51,qasigiannguit,gl,6.8,77.0,76.0,17.22,2018-02-02 00:50:00
-3.59,48.74,mogadishu,so,77.01,100.0,20.0,22.32,2018-02-02 01:13:21
67.74,111.09,aykhal,ru,-42.6,0.0,0.0,2.64,2018-02-02 01:14:50
-9.09,161.43,auki,sb,80.97,100.0,76.0,10.8,2018-02-02 01:15:13
-16.56,-157.01,vaitape,pf,80.93,100.0,36.0,14.5,2018-02-02 01:15:40
59.89,174.2,anadyr,ru,-5.81,76.0,40.0,8.95,2018-02-02 00:30:00
40.91,52.37,artyom,az,28.4,100.0,40.0,3.09,2018-02-02 00:30:00
57.79,142.99,okhotsk,ru,5.33,100.0,48.0,4.76,2018-02-02 01:12:13
-37.52,-59.49,tandil,ar,73.91,60.0,0.0,5.77,2018-02-02 01:09:36
22.33,107.41,lang son,vn,42.54,69.0,88.0,11.25,2018-02-02 01:15:15
10.85,-39.48,carutapera,br,76.65,98.0,36.0,5.66,2018-02-02 01:10:33
65.17,14.23,trofors,no,23.0,57.0,0.0,13.87,2018-02-02 00:20:00
44.16,-106.59,sheridan,us,30.2,68.0,75.0,4.7,2018-02-02 00:58:00
55.93,175.0,beringovskiy,ru,4.2,100.0,12.0,10.69,2018-02-02 01:16:44
